Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth
59b5436a9e4361073d39d8682477efb3987d4658e58025f64df6911a1669eb96,10016275,1728502885,0.043769195,1522232,12,4
d3b373af65d892d6f51f537fb8205c7dfd0053d6748a70b7642efbe377e533d2,10153929,1728907202,0.047355545,886581,12,4
17bb174e36ddb0ef5cbd48ef01eb09845ea215916ef4ce68c76a2dbd1a7bdec7,10023386,1728523800,0.045446761,865481,12,4
0303f14ea4b98a64b2402f976397aea3bc9eec5d24b5e0f852c456541da00491,10193718,1729015201,0.041447503,879626,12,4
4c0c921d09695a9f5de4411526351528a53de334550c6fdea79f4d63dc17a4f6,10296648,1729282085,0.041865291,646138,5,3
e889f1222bbd9e369a733a1a466bb68fa42e374336d13a3bed901dc371a3b06f,10037189,1728564076,0.041410131,558320,1,1
adec2f9690c89507d3403b67818eb2465222287700a147d9fc00fe5d16df6f25,10157473,1728916970,0.048422662,551322,1,1
deecd6c55452682352a621ecf81a9ebc5656388e45d003939aeefa3cf9c51c1f,10254479,1729179423,0.042689238,552416,1,1
756dc5322fb0a4e194c0667eae03f7db86bce7c4a2bebb1999be9f4a7c506187,10038882,1728568802,0.0416173,879502,12,4
def317e0ddd4426219d8f345315d79c1331e28acb556ee34b1e71f0b6ffb27f2,10325065,1729360801,0.045103842,840298,12,4
a4c8a72756197ce74a14bc810e3f79d4a489b3d28bad99d92c1da7c239f79ef7,10188564,1729002436,0.045980223,558320,1,1
f23ad77d0ce689548375e40940869e3b60079e1abf6977a2d49f9cee858c14d2,10049611,1728600041,0.047497935,558184,1,1
8e749d6b46cac9aebea0943e9d20a19eb557b01d3e4176a5524390f85696e454,10036919,1728563401,0.041306558,876783,12,4
e3e10e998b447ce269d48ded28f0404d00bbf52e46e88a2d6da4559778d38a53,10188919,1729003144,0.05,551230,1,1
7157613f5a51385f9cfd321a22794d5434a48f179a3ee18243736859b56253c6,10188263,1729001812,0.045714874,551242,1,1
a677dd10a957e854e8d974efb14605a428cf43a318b5961a196f82c9917f69a4,10131519,1728842399,0.041046592,886661,12,4
b724dbe9d126ba6fd92cdc2a29de74459cb4e616fc1f8e4efcbb28a89ee3d5da,10098437,1728744568,0.044736543,558321,1,1
b2d080f71328e81e89ae5463307a3b97d2d7021df74ebe157ac40a444cfe0fd5,10025201,1728529201,0.041016837,876782,12,4
a68e30f96c654bae4aa1aa5d9ee597e6bb6092f120e08edb0dd50a8e31a54c1a,10094956,1728734401,0.041638997,879559,12,4
9d0d1897ae035c6eb9832cdc7898aca6a97af5c258bb8de65190e7f1782f43dc,10033792,1728554400,0.040865997,872492,12,4
bc5dd2a7ed61700f9c85fcbacded9f25f957fdc14ea5f8f53d58bff006fef653,10087635,1728712801,0.041163351,876802,12,4
62c82a221bfcd4bd9259b9b33394b4237562d99c5b238a923e4e56e4cdad8dad,10136458,1728856994,0.041579771,687331,6,3
127c555bb6f3609a72b072e957b29adbe8bc03bba55bb785853d95a116da057b,10146184,1728885601,0.040712429,879582,12,4
204c4f46986f029389e0b5a1f4fabac0873bbf3ad9c97aba5aad96cb8904c341,10187679,1729000504,0.044357049,544163,1,1
8b9f69741e169a4ea719130f00cea956c6bbcbb5eb8707fd73eae750ac4110af,10261191,1729196895,0.04182546,552440,1,1
2e5f650c86e22d4ad7b0a5847e13ddd9bdffca989ea6e07ed349b794c351bd41,10042739,1728579976,0.043843047,687061,5,3
2d4e42816a1dd9455f36533fbabc374e1c9cc75ee3205b4323df6631185ed641,10190267,1729006280,0.044546871,641971,4,2
fe973e367e6859d4ad39941e5f9e1a418ae5178ee155e7c9cc61ed8a2b8734a8,10188893,1729003082,0.049184922,641903,4,2
0a3c17c49b0ae3bf8124bc469c213af1a534722ba3fc9431fdfab2a6c6abedf5,10040738,1728574201,0.045640433,879566,12,4
1d683ce88d9f691854549372f94275ca65d3d340876ca58db29323b63c88cb99,10109497,1728777602,0.044643789,865501,12,4
f99180dbe7c98df803d739709cd61441239cea427d9a7dde0399b6cffde7864d,10069747,1728659413,0.049128068,695505,6,3
47977c71676810e676c61f4267918e87f67a032bf5a69680132b0393bc479d4e,10065386,1728646627,0.041353746,558240,1,1
2548e945e00a3e9ae788f98e7d51082096262a312a5fb197ed5c5db1ab713313,10025802,1728531000,0.040842821,869736,12,4
5586ded8b2516540d4c85471c0cca91eb15745286dda6be77b1b7b1536ab0a8d,10030667,1728545399,0.040814914,872688,12,4
41d4fe01715bc7be69bdf6606b7b9b1e79fae0a2ef61ef2ad7c524bfb7c0b6cb,10221773,1729090552,0.04258049,551174,1,1
e543252ca05ae3a29892b7f5a5e715de91c1d705a76d721083c103455b5cc939,10254461,1729179399,0.042689238,551162,1,1
e6b19a9a04567d6e4b77a53fd16242913a112b1ffa57b1ec8fdbe1e4f33113ed,10292953,1729274402,0.041847855,840179,12,4
d2707b6cd134304251467f15f73e4ceee94d3e931a5b73ec2b2ccac03f6e6155,10294264,1729277116,0.041700519,556559,1,1
910faa3a614a939d119ecc2d78756e489e221497af74ede14c94b82aede4046e,10190294,1729006333,0.044941005,551174,1,1
0c28aba7601cec043d791e4663d35ae4e4d42f50e8c542d9eda32d2c8e8bf41e,10187494,1729000108,0.044160793,572237,1,1
6a7b3b1db0c28987b44c83d417e25c40254f4ae08676c619907aebb8fe08c087,10192622,1729012239,0.043082658,572181,1,1
2ddaaa658bba4f169067c7651b023813d452ec82d4843a040f762e3c19904d0e,10028212,1728538199,0.040965971,879443,12,4
843ea16d682e03274bccff09f01e614aaa8c229ec055ddf67b74c4c06b53de99,10148672,1728892562,0.041215158,558228,1,1
ef4b317a5907344bdd89b10461e3b1155a5ee158de8c89696e58011308b4b5db,10035034,1728557999,0.040449662,886425,12,4
d260a1494b4066c098c3cf0e5de59dc1fb00b141e4cb655d43ff845a98edfba5,10022785,1728522000,0.043737701,874074,12,4
b52020fd972079310c5e7ec4a2a926c5b38e1310288bec8f3581af0b4374376f,10030049,1728543602,0.040562362,893571,12,4
f156ca4b683fdbb5cd109b0048c81462a0ae2133b1a897e091a82c18c3aa2677,10261187,1729196887,0.04182546,559323,1,1
80b16905c6f9919c2043bafa6bd1c1ee734a6bc62672c20d60e5b3c9048b9425,10189645,1729004795,0.045777234,558149,1,1
1451690aea70a2f565529a47a0ea9649ab43374cac514f11c6c261303bd62cd2,10221445,1729089774,0.042346273,672881,5,3
addd1c1d38baaf88331f7245dd90820cce8406cf93cadd047ab3c0c82323a0e4,10038225,1728566999,0.042712697,862853,12,4
c65b742e9d1334f7e292e066fa28ea2bc7c17ae0b81d8c2b35362e0856c1051e,10053561,1728611812,0.046969445,687343,6,3
477bbbd6b4acfced98830ac5c63398cf5bbfb1ed2b13170d72d49dc4d056e421,10285672,1729260537,0.047183512,549708,1,1
bcbb23d42afafcba292d599811fc6607f9b856c001ed641997fe2a5ba4f277ee,10189632,1729004777,0.045777234,648858,4,2
ff6ce696dd549f8fd7b325895e1a9e73825259b86e3a258cd1365f15d4881d0c,10039511,1728570601,0.04323463,879466,12,4
7912ef5eaf8238fe34a009af7ce90ae1db8410461b22ec185a25e65d2f25c475,10080406,1728691200,0.049453985,872452,12,4
bd85e9960e3ca8e0e29dc74d69bc3f384dd3af5e06063401997c32b645901ab8,10296696,1729282188,0.041865291,535515,1,1
0696ab51735e612dac687eb30f1713ff6ddb87758b984be2dd8810d52022e81d,10220563,1729087752,0.042418743,565239,1,1
ca189d15022203c4e529b0b70a34ff20d6b6af83346b3d557840467229f612c4,10053545,1728611766,0.046969445,558149,1,1
3cb9684fa4c0e9f51bcb3d589c1c0e0ebaf2d498163c0908572c0a9a3aef4621,10157435,1728916875,0.046791186,565215,1,1
00d0358b1912a39c55b0304f52324f5d3335ee62e63727c8ad70a0602a45d6fb,10189747,1729004995,0.046661208,551230,1,1
fc328eeeab2e524866ba0200b2c2e45cda324c62439b61b153f0b4561cc7e5b7,10258137,1729189035,0.045234315,655936,4,2
83deefd64c345e00f1c345f4b87a41e56b08f2327c5b544bc51a016d54f5dfed,10157474,1728916971,0.048422662,538419,1,1
3ddbbb9269497a6a0aa99bb1557feccf9446c27a877372b9afbe92aa3f3f2f98,10188478,1729002243,0.045461604,558332,1,1
6f5d55e0d17c40418f4a1af941be41897406181cc3263ff773d5f028f156aaa2,10169091,1728950400,0.041600479,886501,12,4
102db1d52e98db601b97cdbe1165dbe8c32c6bac2527ecc9cc519963cf0e04e7,10041388,1728576114,0.043867788,667160,5,3
818c08ef940cff185213fc0b86936b918b9e97d1ac07228667fd7f6819ee994f,10187397,1728999868,0.043751596,558252,1,1
37ce5a7bfea46744adcd2f4669df8e7eae2cd83bf026bc69ac69892d6d882dfa,10268492,1729216683,0.041501833,556559,1,1
da047ccaa75156717ca8be49227ca572b79bc6c68266b47b278bdb40685e7727,10148558,1728892245,0.041029633,544311,1,1
d1b0b702e8f005f9b5df94795bc7970e0505e3ae57a4e38c22e042bd39671948,10143626,1728878166,0.041464057,551242,1,1
2b665e051d06a7772be71b3c75533c6b956030128054ee6cbd1a7b248dad84ca,10268135,1729215968,0.041407963,563545,1,1
a45c835110bda2cce52dbc49a7db66efcf9e1b7f7405a75adb7cacde877d47f7,10187547,1729000230,0.044149769,565227,1,1
d093c02a13b32b961928473db6beea29a779d728843439096d7b1f748ea22403,10187861,1729000840,0.045610307,551322,1,1
