Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth,Chain,Timestamp_Rounded,timestamp,ETH Price (USD),Gas Price (ETH),Total Cost (ETH),Total Cost (USD)
ecb60cab2a00910bb4310f6f5387a390f56165da277c318865adebb4f6ac4939,9718326,2024-09-20 17:30:03,0.0950309,831925,11,4,Linea,2024-09-20,2024-09-20 17:18:29.972,2548.631237827251,9.503090000000001e-11,7.905858148250001e-05,0.2014911703846106
9241fb0f9c3549428bfd462e754910104b128365b453494988dc6a8135e0394e,16172830,2024-09-20 17:30:09,0.278,629021,4,2,Polygon,2024-09-20,2024-09-20 17:18:29.972,2548.631237827251,2.78e-10,0.000174867838,0.4456736344181152
c97729989352a4ebb045b7410c1ab692a57781d8fb4e113a07da295eb919dad2,9719222,2024-09-20 18:00:04,0.093348732,831813,11,4,Linea,2024-09-20,2024-09-20 17:18:29.972,2548.631237827251,9.334873200000001e-11,7.764868881111601e-05,0.1978978738803376
72e10c5be956d61cc2349bdc6079df8f9b1823243393b2c04b07b4e937bef31a,16173424,2024-09-20 18:00:08,0.178,635995,4,2,Polygon,2024-09-20,2024-09-20 17:18:29.972,2548.631237827251,1.78e-10,0.00011320711000000001,0.2885231768901458
7b18a0bca5ad072761e4176697e50ad04cb4754837ebdcc117c1c43a2716eaea,9720112,2024-09-20 18:30:03,0.09603,838927,11,4,Linea,2024-09-20,2024-09-20 18:12:51.380,2524.0530199167606,9.603000000000002e-11,8.056215981000001e-05,0.2033431627594472
c454231936476bf14deefe6f3e088cdda547b0ea86a1a7bcdb71d3d93a6eeac3,16174019,2024-09-20 18:30:08,0.201,650028,4,2,Polygon,2024-09-20,2024-09-20 18:12:51.380,2524.0530199167606,2.0100000000000003e-10,0.000130655628,0.3297817324225209
d212b360ec52051779231646e82585dda032697609bb6e194dc9345fea4fe429,9720998,2024-09-20 19:00:06,0.098,824838,11,4,Linea,2024-09-20,2024-09-20 18:12:51.380,2524.0530199167606,9.800000000000001e-11,8.083412400000001e-05,0.20402961479452592
ccaeae5bac0f8249af632aaf6309498f11a8cbf472d15e39f2184478d48677ef,16174614,2024-09-20 19:00:07,0.228,636075,4,2,Polygon,2024-09-20,2024-09-20 18:12:51.380,2524.0530199167606,2.2800000000000001e-10,0.00014502510000000002,0.36605104161873026
df76eb2edc858c7cb6c4d83b747020073d4eee21a6f43eebb1d2fb1218ae5c26,9721887,2024-09-20 19:30:04,0.09021,824942,11,4,Linea,2024-09-20,2024-09-20 19:13:17.454,2545.1267637002247,9.021e-11,7.441801782e-05,0.18940328885520225
c1b56acf5ae27f9d1c7e83d47d77bd1eb44a64199d2d66ec132cb97a94c5e650,16175209,2024-09-20 19:30:09,0.152,636043,4,2,Polygon,2024-09-20,2024-09-20 19:13:17.454,2545.1267637002247,1.5200000000000002e-10,9.667853600000001e-05,0.2460591294489557
f8bfb9bd004cb89f296f3e9b96ab432bf22442a3107328cd9cc405ae9ddfe53f,9722775,2024-09-20 20:00:04,0.081,838879,11,4,Linea,2024-09-20,2024-09-20 19:13:17.454,2545.1267637002247,8.1e-11,6.7949199e-05,0.17293932494689254
9ff9054625634f7b9b509db09321d4f7a141a0327ae718eaa156aabef5b72b91,16175804,2024-09-20 20:00:09,0.185,636087,4,2,Polygon,2024-09-20,2024-09-20 19:13:17.454,2545.1267637002247,1.85e-10,0.000117676095,0.2995005788322302
6218b0589432eaa15b3289d885f95681077df514e78ebb1fadd205bbf9ebc4e6,9723661,2024-09-20 20:30:05,0.080174625,822038,11,4,Linea,2024-09-20,2024-09-20 20:14:25.374,2540.3410750861212,8.017462500000001e-11,6.590658838575001e-05,0.16742521359511464
aa477e4e912b3399c68f60af82754e1589100054756242afa6968a8fc8e6b667,16176399,2024-09-20 20:30:10,0.294,642926,4,2,Polygon,2024-09-20,2024-09-20 20:14:25.374,2540.3410750861212,2.94e-10,0.000189020244,0.48017588985600096
1c7c3703e7e1a35b044e2cc0d1627c0132322e992a72dea7de1afcd31fcdaf14,9724548,2024-09-20 21:00:04,0.083105818,843138,11,4,Linea,2024-09-20,2024-09-20 20:14:25.374,2540.3410750861212,8.3105818e-11,7.0069673176884e-05,0.17800086888909863
d4ba9a008e2be1866a879ffea0a97bc9de5a4742f9e2e98572395667072a09ec,16176992,2024-09-20 21:00:06,0.35,629021,4,2,Polygon,2024-09-20,2024-09-20 20:14:25.374,2540.3410750861212,3.5e-10,0.00022015735,0.5592747591871114
63d7f2e2615a194cd237eedbe94e372e5b60cb8a54545a111ee24b2b2d4af0fc,9725439,2024-09-20 21:30:04,0.09,846006,11,4,Linea,2024-09-20,2024-09-20 20:14:25.374,2540.3410750861212,9e-11,7.614054e-05,0.19342294124123782
